price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
0.017,0.444,0.312,0.132,0.032,1.0,0,0,4,0.102,0.17,0.144,10.0,16,15
0.006,0.333,0.125,0.051,0.004,1.0,0,0,3,0.074,0.0,0.273,0.124,35,65
0.03,0.333,0.219,0.073,0.006,1.0,0,0,3,0.106,0.0,0.263,0.05,3,3
0.012,0.333,0.312,0.084,0.001,2.0,0,0,3,0.086,0.068,0.02,10.0,35,49
0.011,0.222,0.125,0.033,0.005,1.0,0,0,3,0.048,0.0,0.298,0.045,35,60
0.025,0.444,0.5,0.146,0.005,1.5,0,0,5,0.146,0.124,0.367,10.0,35,55
0.022,0.333,0.312,0.107,0.001,3.0,0,0,3,0.136,0.037,0.04,10.0,35,47
0.011,0.222,0.125,0.045,0.004,1.0,0,0,3,0.065,0.0,0.357,0.074,35,56
0.017,0.222,0.125,0.061,0.005,1.0,0,0,4,0.066,0.041,0.362,0.079,35,47
0.024,0.444,0.344,0.17,0.003,3.0,0,0,5,0.17,0.145,0.516,10.0,35,47
0.013,0.333,0.219,0.127,0.021,1.0,0,0,4,0.185,0.0,0.169,10.0,18,26
0.012,0.222,0.125,0.054,0.002,1.0,0,0,4,0.039,0.075,0.472,0.144,35,51
0.017,0.222,0.344,0.08,0.001,2.0,0,0,3,0.069,0.09,0.04,10.0,35,53
0.015,0.333,0.219,0.052,0.005,1.5,0,0,4,0.064,0.021,0.427,10.0,35,55
0.018,0.444,0.375,0.157,0.008,2.0,0,0,3,0.168,0.114,0.164,0.005,17,16
0.017,0.556,0.312,0.207,0.021,1.0,0,0,3,0.29,0.021,0.283,0.07,5,9
0.022,0.333,0.312,0.173,0.008,1.0,0,0,5,0.145,0.201,0.194,10.0,20,67
0.02,0.222,0.125,0.051,0.005,1.0,0,0,3,0.074,0.0,0.313,0.099,35,54
0.024,0.444,0.312,0.182,0.058,2.0,0,0,3,0.265,0.0,0.084,10.0,7,10
0.019,0.444,0.312,0.184,0.004,2.0,0,0,3,0.269,0.0,0.01,0.506,32,33
0.023,0.333,0.375,0.16,0.042,1.0,0,0,4,0.138,0.178,0.189,0.109,42,44
0.02,0.333,0.344,0.131,0.009,2.0,0,0,3,0.126,0.122,0.079,0.04,39,39
0.023,0.333,0.312,0.187,0.005,2.0,0,0,3,0.272,0.0,0.124,10.0,42,41
0.016,0.444,0.312,0.145,0.006,2.0,0,0,4,0.211,0.0,0.065,10.0,32,34
0.026,0.333,0.312,0.166,0.042,2.0,0,0,3,0.241,0.0,0.065,10.0,31,32
0.021,0.444,0.125,0.103,0.002,1.5,0,0,4,0.092,0.108,0.437,0.104,35,54
0.012,0.333,0.281,0.128,0.035,1.0,0,0,4,0.132,0.104,0.179,0.07,14,2
0.02,0.333,0.312,0.118,0.006,2.0,0,0,3,0.173,0.0,0.045,10.0,35,60
0.008,0.444,0.25,0.131,0.006,1.0,0,0,3,0.077,0.212,0.199,10.0,35,71
0.037,0.333,0.344,0.125,0.015,2.0,1,4,3,0.182,0.0,0.035,10.0,6,68
0.009,0.333,0.125,0.111,0.007,1.0,0,0,3,0.162,0.0,0.357,0.074,17,16
0.033,0.444,0.438,0.24,0.013,2.0,0,1,3,0.243,0.199,0.134,0.07,19,22
0.011,0.778,0.312,0.119,0.004,2.0,0,0,3,0.174,0.0,0.099,10.0,1,45
0.03,0.333,0.438,0.244,0.005,2.0,0,0,3,0.356,0.0,0.074,10.0,33,42
0.028,0.333,0.219,0.148,0.01,2.0,0,0,3,0.216,0.0,0.392,0.199,35,54
0.083,0.556,0.594,0.427,0.009,2.0,1,4,3,0.407,0.402,0.06,10.0,16,15
0.018,0.444,0.25,0.1,0.002,1.5,0,0,3,0.131,0.029,0.561,10.0,35,47
0.019,0.333,0.219,0.089,0.009,1.0,0,0,5,0.044,0.16,0.333,10.0,23,25
0.021,0.222,0.312,0.077,0.0,3.0,0,0,3,0.112,0.0,0.04,10.0,35,47
0.011,0.333,0.125,0.055,0.006,1.0,0,0,5,0.08,0.0,0.164,10.0,32,34
0.014,0.333,0.125,0.055,0.003,1.5,0,4,4,0.081,0.0,0.457,10.0,10,73
0.025,0.333,0.312,0.158,0.003,2.0,0,0,3,0.23,0.0,0.02,10.0,31,32
0.012,0.333,0.125,0.06,0.008,1.0,0,0,3,0.087,0.0,0.308,0.03,35,60
0.012,0.444,0.219,0.097,0.007,1.0,0,0,3,0.142,0.0,0.228,0.084,32,36
0.011,0.222,0.125,0.031,0.003,1.0,0,0,4,0.045,0.0,0.417,10.0,27,27
0.012,0.333,0.188,0.105,0.011,1.0,0,0,3,0.086,0.124,0.298,0.045,13,14
0.02,0.222,0.219,0.096,0.003,1.0,0,0,3,0.052,0.166,0.462,0.07,35,48
0.026,0.333,0.188,0.151,0.006,2.0,0,0,5,0.173,0.089,0.437,10.0,35,47
0.026,0.333,0.312,0.318,0.016,2.0,0,0,4,0.379,0.158,0.139,10.0,33,42
0.031,0.333,0.281,0.133,0.05,2.0,0,0,4,0.194,0.0,0.248,10.0,3,4
0.025,0.444,0.344,0.223,0.005,2.0,0,0,3,0.325,0.0,0.03,10.0,38,38
0.022,0.556,0.25,0.119,0.005,1.0,0,0,5,0.066,0.201,0.343,10.0,35,54
0.017,0.222,0.188,0.049,0.001,1.5,0,0,5,0.071,0.0,0.536,10.0,35,50
0.013,0.333,0.312,0.101,0.006,2.0,0,0,3,0.147,0.0,0.099,10.0,32,33
0.01,0.556,0.125,0.114,0.007,1.0,0,0,3,0.134,0.06,0.258,0.055,35,69
0.016,0.444,0.312,0.146,0.01,2.0,0,0,4,0.212,0.0,0.129,10.0,32,36
0.023,0.556,0.281,0.2,0.012,2.0,0,0,4,0.291,0.0,0.194,10.0,31,31
0.021,0.333,0.25,0.137,0.004,1.5,0,2,4,0.145,0.104,0.417,10.0,35,61
0.009,0.333,0.281,0.14,0.007,2.0,0,0,4,0.204,0.0,0.223,10.0,14,13
0.012,0.444,0.312,0.135,0.006,2.0,0,0,4,0.197,0.0,0.114,10.0,18,19
0.006,0.111,0.125,0.019,0.007,1.0,0,0,3,0.028,0.0,0.372,0.223,35,49
0.011,0.333,0.25,0.093,0.033,1.0,0,0,4,0.135,0.0,0.199,10.0,32,36
0.009,0.333,0.219,0.083,0.009,1.0,0,0,3,0.069,0.098,0.084,10.0,35,69
0.016,0.556,0.25,0.133,0.128,1.5,0,0,3,0.194,0.0,0.501,0.154,41,40
0.016,0.556,0.375,0.208,0.011,1.0,0,0,3,0.157,0.274,0.184,0.05,5,9
0.023,0.333,0.281,0.141,0.008,2.0,0,0,4,0.206,0.0,0.134,10.0,3,6
0.011,0.444,0.25,0.101,0.007,1.0,0,0,3,0.053,0.176,0.293,0.02,3,5
0.028,0.556,0.312,0.219,0.022,1.5,0,1,4,0.215,0.197,0.318,0.154,20,67
0.011,0.333,0.312,0.118,0.006,2.0,0,0,3,0.171,0.0,0.104,10.0,14,2
0.017,0.222,0.188,0.062,0.003,1.0,0,0,3,0.069,0.041,0.472,0.065,35,54
0.009,0.333,0.281,0.084,0.002,2.0,0,0,3,0.123,0.0,0.01,0.506,1,1
0.013,0.333,0.312,0.132,0.003,2.0,0,0,4,0.192,0.0,0.124,10.0,18,26
0.039,0.444,0.406,0.306,0.015,2.0,0,0,3,0.446,0.0,0.055,10.0,33,43
0.02,0.222,0.375,0.068,0.001,2.0,0,0,3,0.082,0.033,0.07,10.0,35,47
0.02,0.444,0.312,0.141,0.009,1.0,0,0,5,0.119,0.162,0.199,10.0,16,43
0.019,0.444,0.125,0.081,0.006,1.5,0,0,3,0.118,0.0,0.536,0.0,35,50
0.038,0.333,0.281,0.196,0.073,1.5,0,0,3,0.285,0.0,0.04,10.0,33,43
0.009,0.222,0.125,0.043,0.006,1.0,0,0,3,0.062,0.0,0.139,10.0,34,69
0.0,0.222,0.125,0.033,0.007,1.0,0,0,4,0.049,0.0,0.273,10.0,14,13
0.026,0.444,0.312,0.138,0.01,1.0,0,0,4,0.117,0.158,0.209,10.0,3,5
0.014,0.444,0.219,0.086,0.01,1.0,0,0,4,0.07,0.104,0.293,0.025,17,16
0.004,0.111,0.25,0.059,0.009,1.0,0,0,4,0.086,0.0,0.258,10.0,1,0
0.017,0.333,0.219,0.09,0.004,1.0,0,0,4,0.054,0.143,0.323,0.144,35,54
0.035,0.333,0.219,0.158,0.002,2.0,0,0,3,0.153,0.145,0.492,10.0,35,58
0.015,0.333,0.312,0.177,0.009,1.0,0,3,4,0.108,0.28,0.273,10.0,10,73
0.011,0.333,0.125,0.055,0.007,1.0,0,0,4,0.08,0.0,0.204,10.0,6,68
0.01,0.222,0.125,0.128,0.007,1.0,0,0,3,0.098,0.166,0.258,0.055,35,69
0.011,0.333,0.312,0.131,0.009,1.0,0,0,4,0.11,0.151,0.134,10.0,14,2
0.02,0.333,0.312,0.131,0.007,1.0,0,0,3,0.11,0.151,0.258,0.0,36,62
0.053,0.444,0.344,0.266,0.009,2.0,0,0,3,0.387,0.0,0.045,10.0,19,21
0.012,0.333,0.312,0.12,0.007,2.0,0,0,4,0.175,0.0,0.119,10.0,18,26
0.01,0.333,0.312,0.097,0.012,2.0,0,0,3,0.142,0.0,0.079,0.04,7,10
0.065,0.444,0.281,0.194,0.005,2.0,0,0,4,0.209,0.137,0.382,10.0,35,53
0.01,0.444,0.188,0.134,0.008,1.0,0,0,3,0.081,0.214,0.258,0.055,18,20
0.01,0.333,0.25,0.114,0.005,1.0,0,0,3,0.1,0.124,0.139,10.0,18,18
0.011,0.333,0.125,0.06,0.01,1.0,0,0,3,0.087,0.0,0.228,0.084,42,44
0.008,0.333,0.125,0.085,0.008,1.0,0,0,4,0.124,0.0,0.298,0.174,35,69
0.014,0.333,0.25,0.079,0.008,1.0,0,0,4,0.115,0.0,0.154,10.0,42,41
0.006,0.333,0.125,0.074,0.008,1.5,0,0,3,0.108,0.0,0.357,0.074,34,72
0.013,0.333,0.281,0.109,0.009,2.0,0,0,3,0.158,0.0,0.094,10.0,21,23
0.021,0.333,0.25,0.166,0.201,1.0,0,0,3,0.242,0.0,0.139,10.0,1,45
0.013,0.333,0.281,0.062,0.008,2.0,0,0,3,0.09,0.0,0.139,10.0,17,16
0.008,0.222,0.125,0.042,0.006,1.0,0,0,4,0.061,0.0,0.318,0.154,6,69
0.016,0.444,0.312,0.185,0.007,2.0,0,0,3,0.269,0.0,0.05,0.055,21,23
0.015,0.333,0.312,0.213,0.011,2.0,0,0,3,0.22,0.168,0.094,10.0,14,13
0.025,0.444,0.312,0.177,0.008,2.0,0,0,3,0.258,0.0,0.119,0.025,16,17
0.053,0.444,0.406,0.198,0.006,2.0,0,3,3,0.196,0.174,0.566,0.0,35,64
0.013,0.333,0.219,0.061,0.007,1.0,0,0,3,0.088,0.0,0.258,0.055,36,67
0.039,0.333,0.312,0.141,0.005,2.0,0,0,3,0.206,0.0,0.055,10.0,19,21
0.014,0.444,0.219,0.121,0.008,1.0,0,0,5,0.107,0.129,0.174,10.0,27,27
0.029,0.333,0.219,0.123,0.005,1.0,0,0,4,0.081,0.185,0.372,0.124,35,48
0.017,0.556,0.312,0.188,0.195,1.0,0,0,4,0.173,0.191,0.442,0.228,32,36
0.014,0.444,0.219,0.125,0.007,1.0,0,0,4,0.107,0.139,0.283,0.065,36,62
0.015,0.556,0.312,0.245,0.016,1.0,0,0,4,0.226,0.247,0.228,10.0,26,68
0.0,0.222,0.125,0.031,0.015,1.0,0,0,1,0.045,0.0,0.357,10.0,40,69
0.008,0.333,0.125,0.041,0.008,1.0,0,0,3,0.06,0.0,0.238,0.253,35,66
0.019,0.444,0.312,0.104,0.006,1.0,0,0,4,0.094,0.108,0.189,0.109,31,31
0.011,0.333,0.344,0.055,0.0,2.0,0,0,3,0.045,0.066,0.03,10.0,35,49
0.018,0.444,0.344,0.148,0.003,2.0,0,0,3,0.216,0.0,0.01,0.506,32,37
0.01,0.333,0.219,0.112,0.006,1.0,0,0,4,0.096,0.124,0.189,0.109,18,19
0.009,0.667,0.375,0.137,0.007,2.0,0,0,3,0.2,0.0,0.169,10.0,14,2
0.013,0.333,0.219,0.068,0.007,1.0,0,0,3,0.056,0.081,0.318,0.045,6,65
0.021,0.222,0.25,0.1,0.004,1.0,0,0,3,0.146,0.0,0.05,0.055,31,32
0.028,0.444,0.312,0.195,0.009,2.0,0,0,4,0.284,0.0,0.114,10.0,25,37
0.021,0.333,0.125,0.08,0.004,1.0,0,0,4,0.079,0.073,0.472,0.144,35,54
0.028,0.444,0.344,0.177,0.005,2.0,0,0,4,0.191,0.124,0.516,10.0,35,55
0.02,0.556,0.312,0.186,0.008,1.0,0,0,4,0.131,0.263,0.228,10.0,3,5
0.018,0.444,0.312,0.159,0.032,2.0,0,0,3,0.232,0.0,0.124,10.0,1,45
0.012,0.333,0.125,0.049,0.009,1.0,0,0,4,0.071,0.0,0.204,10.0,38,38
0.009,0.222,0.188,0.055,0.001,2.0,0,0,3,0.079,0.0,0.154,0.025,19,22
0.007,0.333,0.188,0.033,0.008,1.0,0,0,4,0.048,0.0,0.273,10.0,14,13
0.013,0.556,0.312,0.158,0.006,2.0,0,0,3,0.23,0.0,0.06,10.0,18,18
0.026,0.444,0.438,0.249,0.035,2.0,0,0,3,0.241,0.228,0.089,10.0,27,27
0.017,0.444,0.312,0.204,0.005,2.0,0,0,3,0.298,0.0,0.01,0.506,21,23
0.022,0.667,0.344,0.172,0.015,1.0,0,0,4,0.142,0.203,0.199,10.0,31,31
0.015,0.222,0.375,0.079,0.001,2.0,0,0,3,0.085,0.056,0.04,10.0,35,63
0.006,0.333,0.125,0.049,0.008,1.0,0,0,4,0.071,0.0,0.273,10.0,10,73
0.026,0.333,0.312,0.167,0.003,2.5,0,0,3,0.243,0.0,0.035,10.0,16,17
0.065,0.444,0.281,0.203,0.004,2.0,0,3,4,0.189,0.199,0.437,0.104,35,48
0.049,0.444,0.312,0.175,0.011,1.0,1,4,3,0.135,0.226,0.288,0.065,26,68
0.009,0.333,0.219,0.074,0.015,1.0,0,0,4,0.107,0.0,0.228,10.0,18,26
0.017,0.444,0.312,0.131,0.008,1.0,0,0,5,0.105,0.16,0.243,10.0,36,62
0.032,0.444,0.438,0.286,0.006,2.0,0,0,3,0.309,0.203,0.055,10.0,19,22
0.017,0.444,0.312,0.15,0.003,2.0,0,0,3,0.218,0.0,0.03,10.0,35,49
0.011,0.222,0.125,0.033,0.005,1.0,0,0,4,0.048,0.0,0.303,0.154,36,62
0.041,0.333,0.344,0.267,0.006,2.0,0,1,3,0.32,0.131,0.233,0.02,35,57
0.017,0.444,0.312,0.127,0.02,2.0,0,0,3,0.185,0.0,0.099,10.0,7,10
0.06,0.333,0.312,0.212,0.011,1.0,0,2,4,0.16,0.278,0.238,10.0,3,3
0.035,0.444,0.375,0.257,0.01,2.0,0,0,3,0.374,0.0,0.189,10.0,33,42
0.02,0.333,0.188,0.103,0.037,2.0,0,0,4,0.15,0.0,0.154,10.0,42,41
0.032,0.778,0.562,0.298,0.034,1.5,0,0,5,0.434,0.0,0.159,10.0,16,15
0.017,0.444,0.219,0.107,0.002,1.0,0,0,4,0.058,0.185,0.353,10.0,35,74
0.016,0.444,0.312,0.164,0.004,2.0,0,0,3,0.239,0.0,0.0,10.0,21,23
0.034,0.444,0.438,0.279,0.046,2.0,0,0,3,0.406,0.0,0.134,0.07,42,44
0.017,0.333,0.312,0.156,0.007,2.0,0,0,3,0.227,0.0,0.079,0.04,38,38
0.022,0.333,0.312,0.096,0.001,3.0,0,0,3,0.14,0.0,0.025,10.0,35,53
0.017,0.444,0.25,0.098,0.005,1.0,0,0,3,0.053,0.168,0.343,0.02,35,61
0.019,0.333,0.312,0.125,0.006,2.0,0,0,3,0.181,0.0,0.099,10.0,17,16
0.017,0.333,0.219,0.112,0.003,1.0,0,0,5,0.075,0.164,0.442,10.0,35,51
0.012,0.222,0.125,0.104,0.003,1.0,0,0,4,0.064,0.164,0.447,10.0,35,57
0.048,0.444,0.25,0.188,0.007,1.0,0,4,4,0.119,0.29,0.218,10.0,35,56
0.013,0.333,0.281,0.096,0.011,2.0,0,0,4,0.139,0.0,0.144,10.0,32,36
0.014,0.222,0.312,0.029,0.001,2.0,0,0,3,0.042,0.0,0.04,10.0,35,59
0.017,0.222,0.125,0.067,0.003,1.0,0,0,3,0.053,0.083,0.422,10.0,35,56
0.022,0.333,0.281,0.126,0.006,1.0,0,0,4,0.091,0.174,0.184,10.0,31,31
0.018,0.333,0.219,0.115,0.009,1.0,0,0,4,0.167,0.0,0.149,10.0,3,5
0.033,0.333,0.188,0.11,0.011,1.0,0,0,4,0.16,0.0,0.308,10.0,3,3
0.023,0.333,0.312,0.175,0.044,2.0,0,3,3,0.254,0.0,0.164,0.005,42,41
0.012,0.333,0.125,0.077,0.011,1.0,0,0,4,0.113,0.0,0.228,10.0,42,44
0.006,0.222,0.125,0.052,0.006,1.5,0,0,3,0.075,0.0,0.248,0.07,6,69
0.023,0.333,0.281,0.116,0.043,1.5,0,0,4,0.118,0.095,0.223,10.0,42,41
0.026,0.444,0.438,0.188,0.004,3.0,0,0,3,0.273,0.0,0.03,10.0,35,60
0.017,0.222,0.125,0.059,0.004,1.0,0,0,4,0.086,0.0,0.541,10.0,35,53
0.013,0.333,0.219,0.103,0.006,1.5,0,0,3,0.15,0.0,0.298,0.045,36,62
0.009,0.333,0.344,0.15,0.015,1.0,0,0,4,0.125,0.174,0.209,10.0,33,43
0.028,0.444,0.281,0.136,0.005,1.0,0,0,5,0.079,0.224,0.333,10.0,35,58
0.02,0.333,0.188,0.169,0.004,1.0,0,0,4,0.114,0.249,0.367,0.065,35,61
0.019,0.333,0.281,0.131,0.009,1.0,0,0,3,0.118,0.135,0.278,0.05,35,54
0.016,0.333,0.312,0.134,0.003,2.0,0,0,3,0.196,0.0,0.045,10.0,16,17
0.075,0.556,0.531,0.465,0.01,2.0,0,3,4,0.395,0.529,0.114,10.0,23,25
0.029,0.333,0.219,0.103,0.004,1.0,0,0,3,0.149,0.0,0.298,0.0,35,59
0.017,0.444,0.312,0.147,0.017,1.0,0,0,4,0.213,0.0,0.293,0.025,27,27
0.016,0.333,0.25,0.073,0.007,1.0,0,0,4,0.106,0.0,0.223,10.0,19,22
0.028,0.333,0.406,0.214,0.004,2.0,0,0,3,0.312,0.0,0.035,10.0,16,17
0.029,0.333,0.406,0.246,0.055,2.0,0,0,3,0.229,0.243,0.055,10.0,16,15
0.009,0.222,0.25,0.084,0.002,2.0,0,0,3,0.122,0.0,0.045,10.0,21,23
0.016,0.444,0.281,0.147,0.007,1.0,0,0,3,0.112,0.191,0.273,0.124,35,60
0.012,0.444,0.188,0.115,0.04,1.0,0,0,4,0.168,0.0,0.199,10.0,1,45
0.011,0.444,0.219,0.11,0.004,1.0,0,0,4,0.091,0.131,0.437,0.104,35,51
0.011,0.333,0.281,0.122,0.007,1.0,0,0,4,0.132,0.087,0.199,10.0,14,13
0.032,0.444,0.312,0.214,0.013,2.0,0,0,3,0.312,0.0,0.119,0.025,42,44
0.007,0.222,0.125,0.049,0.007,1.0,0,0,3,0.072,0.0,0.367,0.089,35,69
0.012,0.333,0.312,0.105,0.006,2.0,0,0,3,0.153,0.0,0.099,10.0,32,33
0.018,0.444,0.312,0.18,0.042,2.0,0,0,3,0.262,0.0,0.094,10.0,42,44
0.02,0.333,0.25,0.074,0.006,1.5,0,0,4,0.107,0.0,0.452,10.0,35,57
0.016,0.333,0.312,0.145,0.005,2.0,0,0,3,0.211,0.0,0.015,10.0,11,11
0.016,0.333,0.344,0.169,0.06,1.5,0,0,3,0.247,0.0,0.025,10.0,37,75
0.017,0.333,0.281,0.15,0.009,1.0,0,0,3,0.113,0.199,0.184,0.05,17,16
0.03,0.444,0.375,0.168,0.195,2.0,0,0,3,0.244,0.0,0.149,10.0,31,32
0.009,0.333,0.219,0.062,0.006,1.0,0,0,4,0.091,0.0,0.228,10.0,1,45
0.022,0.333,0.312,0.128,0.005,1.0,0,0,3,0.106,0.151,0.189,10.0,35,55
0.024,0.444,0.312,0.135,0.011,2.0,0,0,4,0.197,0.0,0.159,0.015,31,31
0.016,0.333,0.125,0.087,0.198,1.5,0,3,5,0.127,0.0,0.129,10.0,32,37
0.017,0.222,0.188,0.055,0.003,1.0,0,0,3,0.066,0.025,0.313,0.099,35,55
0.025,0.444,0.375,0.154,0.003,1.0,0,0,4,0.092,0.249,0.248,10.0,35,50
0.009,0.333,0.219,0.058,0.009,1.0,0,0,4,0.085,0.0,0.154,10.0,24,76
0.014,0.444,0.312,0.169,0.007,2.0,0,0,3,0.246,0.0,0.114,10.0,5,9
0.015,0.333,0.312,0.137,0.006,1.0,0,0,4,0.116,0.158,0.258,10.0,36,62
0.018,0.444,0.25,0.133,0.01,1.0,0,0,4,0.076,0.22,0.367,0.065,35,60
0.052,0.667,0.344,0.405,0.018,1.0,0,4,4,0.274,0.591,0.184,10.0,3,5
0.019,0.444,0.125,0.075,0.005,1.5,0,0,3,0.11,0.0,0.482,0.025,35,54
0.01,0.333,0.312,0.107,0.006,1.0,0,0,4,0.114,0.079,0.139,10.0,18,18
0.025,0.556,0.344,0.203,0.009,2.0,0,0,3,0.295,0.0,0.104,10.0,3,5
0.043,0.333,0.312,0.263,0.045,2.0,0,0,3,0.383,0.0,0.114,10.0,3,5
0.012,0.333,0.188,0.074,0.007,1.5,0,0,3,0.107,0.0,0.293,0.045,36,62
0.012,0.333,0.219,0.111,0.007,1.0,0,0,3,0.062,0.187,0.318,0.03,32,33
0.008,0.333,0.219,0.059,0.007,1.0,0,0,4,0.086,0.0,0.154,10.0,18,18
0.009,0.222,0.188,0.055,0.002,2.0,0,0,3,0.08,0.0,0.159,10.0,19,22
0.03,0.444,0.469,0.176,0.003,2.0,0,3,4,0.194,0.118,0.521,0.124,35,58
0.025,0.333,0.281,0.175,0.038,2.0,0,0,3,0.255,0.0,0.149,10.0,33,43
0.02,0.222,0.25,0.09,0.002,1.5,0,0,4,0.131,0.0,0.566,0.214,35,47
0.008,0.333,0.125,0.042,0.009,1.0,0,0,4,0.061,0.0,0.258,10.0,1,0
0.014,0.333,0.281,0.119,0.01,1.0,0,0,4,0.081,0.174,0.164,10.0,35,71
0.014,0.667,0.188,0.166,0.031,1.0,0,0,4,0.153,0.166,0.278,0.209,14,13
0.019,0.444,0.312,0.111,0.006,1.0,0,0,4,0.129,0.06,0.204,10.0,36,70
0.016,0.556,0.375,0.172,0.002,2.0,0,0,3,0.144,0.199,0.005,0.452,32,34
0.019,0.444,0.219,0.133,0.009,1.0,0,0,3,0.14,0.1,0.233,0.015,36,70
0.01,0.333,0.281,0.13,0.003,1.5,0,0,3,0.131,0.11,0.055,10.0,18,26
0.012,0.333,0.312,0.142,0.004,2.0,0,0,3,0.207,0.0,0.0,10.0,1,45
0.016,0.222,0.25,0.068,0.001,3.0,0,0,3,0.1,0.0,0.07,10.0,35,54
0.008,0.333,0.25,0.079,0.007,1.0,0,0,4,0.115,0.0,0.367,0.065,40,71
0.068,0.556,0.562,0.306,0.014,2.0,0,0,3,0.334,0.21,0.055,10.0,3,3
0.034,0.556,0.469,0.285,0.21,2.0,0,0,3,0.31,0.199,0.144,10.0,42,44
0.017,0.333,0.125,0.041,0.004,1.0,0,0,3,0.06,0.0,0.328,0.099,35,56
0.009,0.333,0.125,0.071,0.007,1.0,0,0,4,0.103,0.0,0.268,0.065,32,34
0.023,0.333,0.312,0.126,0.005,2.0,0,0,3,0.184,0.0,0.129,0.07,16,15
0.023,0.444,0.344,0.186,0.012,1.0,0,0,3,0.165,0.199,0.243,0.104,3,5
0.054,0.333,0.438,0.266,0.003,2.0,0,0,3,0.264,0.23,0.06,10.0,35,46
0.02,0.444,0.312,0.127,0.005,2.0,0,0,3,0.185,0.0,0.119,0.025,35,54
0.033,0.444,0.312,0.216,0.02,2.0,0,0,3,0.315,0.0,0.089,10.0,42,44
0.004,0.222,0.125,0.033,0.013,1.0,0,0,3,0.048,0.0,0.432,0.015,35,69
0.032,0.444,0.281,0.138,0.003,2.0,0,0,3,0.158,0.081,0.477,10.0,35,58
0.024,0.222,0.125,0.058,0.002,1.0,0,0,4,0.084,0.0,0.432,10.0,35,52
0.01,0.444,0.25,0.139,0.007,1.0,0,0,3,0.081,0.228,0.174,0.0,32,36
0.025,0.333,0.312,0.175,0.009,2.0,0,0,3,0.254,0.0,0.124,10.0,33,42
0.016,0.222,0.125,0.032,0.006,1.0,0,0,3,0.046,0.0,0.323,0.079,35,59
0.009,0.333,0.125,0.073,0.008,1.0,0,0,3,0.106,0.0,0.328,0.099,34,72
0.045,0.444,0.312,0.215,0.006,1.5,0,1,5,0.165,0.278,0.328,0.144,35,54
0.009,0.333,0.219,0.085,0.007,1.0,0,0,4,0.071,0.1,0.194,10.0,9,26
0.017,0.333,0.344,0.09,0.006,1.0,0,0,5,0.073,0.11,0.209,10.0,19,22
0.037,0.444,0.344,0.171,0.012,1.5,0,2,4,0.149,0.187,0.437,0.104,35,64
0.014,0.333,0.312,0.103,0.092,2.0,0,0,4,0.149,0.0,0.119,10.0,18,26
0.015,0.333,0.125,0.073,0.014,1.0,0,0,3,0.059,0.089,0.149,10.0,33,42
